label,width,depth,compute_ms,nodes
w4d2,4,2,0.3480,4
w4d3,4,3,0.5820,8
w4d4,4,4,0.8610,12
w4d5,4,5,1.1050,16
w4d6,4,6,1.5940,20
w4d7,4,7,1.9980,24
w4d9,4,9,2.7830,32
w6d2,6,2,0.4860,6
w6d3,6,3,0.8600,12
w6d4,6,4,1.2750,18
w6d5,6,5,1.6370,24
w6d6,6,6,2.3230,30
w6d7,6,7,2.9610,36
w6d9,6,9,4.1630,48
w8d2,8,2,0.6280,8
w8d3,8,3,1.0950,16
w8d4,8,4,1.6890,24
w8d5,8,5,2.1910,32
w8d6,8,6,3.0880,40
w8d7,8,7,4.0410,48
w8d9,8,9,5.4700,64
w12d2,12,2,0.9050,12
w12d3,12,3,1.6620,24
w12d4,12,4,2.4480,36
w12d5,12,5,3.3060,48
w12d6,12,6,4.5660,60
w12d7,12,7,5.9960,72
w12d9,12,9,8.4730,96
w16d2,16,2,1.1830,16
w16d3,16,3,2.2290,32
w16d4,16,4,3.3420,48
w16d5,16,5,4.4110,64
w16d6,16,6,6.2800,80
w16d7,16,7,8.5630,96
w16d9,16,9,11.7150,128
w24d2,24,2,1.7440,24
w24d3,24,3,3.2700,48
w24d4,24,4,4.9320,72
w24d5,24,5,6.6080,96
w24d6,24,6,9.6450,120
w24d7,24,7,12.3410,144
w24d9,24,9,18.1740,192
w32d2,32,2,2.3490,32
w32d3,32,3,4.3080,64
w32d4,32,4,6.6070,96
w32d5,32,5,8.8220,128
w32d6,32,6,12.9630,160
w32d7,32,7,16.9950,192
w32d9,32,9,23.9800,256
w48d2,48,2,3.4370,48
w48d3,48,3,6.7800,96
w48d4,48,4,9.9720,144
w48d5,48,5,13.0770,192
w48d6,48,6,19.8960,240
w48d7,48,7,25.5950,288
w48d9,48,9,37.6540,384
w64d2,64,2,4.5580,64
w64d3,64,3,8.7050,128
w64d4,64,4,13.0090,192
w64d5,64,5,17.6810,256
w64d6,64,6,26.0070,320
w64d7,64,7,34.4900,384
w64d9,64,9,51.4880,512
w96d2,96,2,5.0440,76
w96d3,96,3,11.5940,172
w96d4,96,4,17.6040,268
w96d5,96,5,24.4870,364
w96d6,96,6,38.1340,460
w96d7,96,7,50.5160,556
w96d9,96,9,73.2730,748
w128d2,128,2,4.9480,76
w128d3,128,3,15.0080,204
w128d4,128,4,23.9470,332
w128d5,128,5,33.5140,460
w128d6,128,6,50.7730,588
w128d7,128,7,66.1230,716
w128d9,128,9,99.7400,972
